nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves 
"Número de folio","7","C","folio","","0000001...0017386"
"Número de vivienda seleccionada","2","C","viv_sel","","01...21"
"Hogar","1","C","hogar","","1...3"
"Número de renglón de la persona seleccionada","2","C","n_ren","","01...08"
"Número consecutivo de identificación","2","C","consec","","01...04"
"Pregunta P6.4 Sin contar el valor del inmueble, si tuviera que vender o traspasar la parte del (RESPUESTA DE 6.3) con toda la mercancía, autos a nombre del negocio, maquinaria, herramientas y mobiliario que tiene, ¿en cuánto lo vendería?","9","C","p6_4","p6_4","000000001...020000000,999999888,999999999"
"Pregunta P6.5 De octubre de 2018 a la fecha, ¿solicitó algún crédito en un banco o institución financiera para el inicio u operación del (RESPUESTA DE 6.3)?","1","C","p6_5","p6_5","1,2"
"Pregunta P6.6 ¿La solicitud fue...?","1","C","p6_6","p6_6","1...3"
"Pregunta P6.7 ¿Por cuál banco o institución financiera le fue (RESPUESTA DE 6.6)?","1","C","p6_7","p6_7","1...5,7,9"
"Estrato de diseño","3","C","edis","","001...407"
"Unidad primaria de muestreo de diseño","7","C","upm_dis","","0000010...0003306"
"Factor de expansión","5","C","factor","","50…11534"
"Estrato","1","C","estrato","","1...4"
"Tamaño de localidad","1","C","tloc","tloc","1...4"
