nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
"Número de folio","7","C","folio","","0000001...0017386"
"Número de vivienda seleccionada","2","C","viv_sel","","01...24"
"Número de Hogar","1","C","hogar","","1...4"
"Condición de hogar principal","1","C","h_ppal","h_ppal","0,1"
"Sexo de la persona de referencia","1","C","sx_jefe","sx_jefe","1,2"
"Tamaño del hogar","1","C","cat_tamhog","","1…6"
"Grupos de edad","1","C","gpo_edad","gpo_edad","1…7"
"Categoría de escolaridad","1","C","cat_escol","cat_escol","0…4,9"
"Categoría de tenencia de la vivienda habitada por el hogar principal","1","C","cat_tncia","cat_tncia","0…4"
"Categoría de posición en el trabajo","1","C","cat_pos","cat_pos","0…5"
"Categoría de actividad económica y no económica","1","C","cat_ocup","cat_ocup","0…2"
"Categoría de No económicamente activos","1","C","cat_pnea","cat_pnea","0…2"
"Condición de no tenencia de activos financieros","1","C","sacvo_fin","sacvo_fin","0,1"
"Condición de tenencia de activos financieros","1","C","cacvo_fin","cacvo_fin","0,1"
"Valor de los activos financieros","9","C","val_finan","val_finan","0...108270000"
"Condición de tenencia de cuenta de ahorro y/o cheques","1","C","c_ctachqs","c_ctachqs","0,1"
"Condición de tenencia de cuenta de nómina y/o pensión","1","C","c_nompen","c_nompen","0,1"
"Condición de tenencia de cuenta para recibir apoyos de gobierno","1","C","c_ctagob","c_ctagob","0,1"
"Condición de tenencia de cuenta de depósitos a plazo fijo y/o de fondos de inversión","1","C","c_prvinvr","c_prvinvr","0,1"
"Condición de tenencia de cuenta de ahorro para el retiro o Afore","1","C","c_afore","c_afore","0,1"
"Condición de tenencia de seguro de vida con retiro de dividendos","1","C","c_segvid","c_segvid","0,1"
"Condición de tenencia de cuentas de ahorro informal","1","C","c_otroaf","c_otroaf","0,1"
"Monto de cuenta de ahorro y/o cheques","7","C","v_ctachqs","v_ctachqs","0…6000000"
"Monto de cuenta de nómina y/o pensión","7","C","v_nompen","v_nompen","0…5000000"
"Monto de cuenta para recibir apoyos de gobierno","6","C","v_ctagob","v_ctagob","0...200000"
"Monto de cuenta de depósitos a plazo fijo y/o de fondos de inversión","8","C","v_prvinvr","v_prvinvr","0,2...30000000"
"Monto de cuenta de ahorro para el retiro o Afore","9","C","v_afore","v_afore","0...108264000"
"Monto de cuenta de seguro de vida con retiro de dividendos","6","C","v_segvid","v_segvid","0,400...700000"
"Monto de cuentas de ahorro informal","6","C","v_otroaf","v_otroaf","0,10...900000"
"Condición de no tenencia de activos no financieros","1","C","sacvo_nofn","sacvo_nofn","0,1"
"Condición de tenencia de activos no financieros","1","C","cacvo_nofn","cacvo_nofn","0,1"
"Valor de los activos no financieros","9","C","val_nofin","val_nofin","0,35...908650000"
"Valor de venta de Vivienda principal","8","C","val_vpal","val_vpal","0,10000...30070000"
"Valor de venta de la Vivienda secundaria","9","C","val_vsec","val_vsec","0,100...900500000"
"Valor de venta de Menaje","9","C","val_menaje","val_menaje","0,15...150000000"
"Valor de venta de negocios de dueño único","9","C","val_ngcio","val_ngcio","0...200000000"
"Valor de venta de bienes productivos","9","C","val_bprod","val_bprod","0,30...900000000"
"Valor de venta de vehículos","9","C","val_vehic","val_vehic","0,57...250000000"
"Condición de tenencia de Vivienda principal","1","C","con_vpal","con_vpal","0,1"
"Condición de tenencia de Vivienda secundaria","1","C","con_vsec","con_vsec","0,1"
"Condición de tenencia de Menaje","1","C","con_menaje","con_menaje","0,1"
"Condición de tenencia de negocios","1","C","con_ngcio","con_ngcio","0,1"
"Condición de tenencia de bienes productivos","1","C","con_bprod","con_bprod","0,1"
"Condición de tenencia de vehículos","1","C","con_vehic","con_vehic","0,1"
"Valor de los activos financieros y no financieros","9","C","val_activ","val_activ","0,45...908840000"
"Ingreso corriente efectivo total de los hogares","8","C","ing_total","ing_total","0,600...12356000"
"Riqueza neta de los hogares","10","C","riq_net","","-100...908610500"
"Condición de tenencia de riqueza neta","1","C","criq_net","criq_net","0,1"
"Activos líquidos netos","8","C","actliqnet","actliqnet","0...30400000"
"Condición de tenencia de ingreso corriente efectivo","1","C","cing_total","cing_total","0,1"
"Condición de tenencia de ingresos por trabajo","1","C","cingxtrab","cingxtrab","0,1"
"Condición de tenencia de ingresos por renta de propiedad","1","C","cingxrnta","cingxrnta","0,1"
"Condición de tenencia de ingresos por inversiones","1","C","cingxinvrs","cingxinvrs","0,1"
"Condición de tenencia de ingresos por otras fuentes","1","C","cingxotfte","cingxotfte","0,1"
"Proporciones para la mediana de los porcentajes calculados para los hogares que reciben ingresos por trabajo","18","C","propingtra","propingtra","0,0.10729613733906...100"
"Proporciones para la mediana de los porcentajes calculados para los hogares que reciben ingresos por alquiler de bienes inmuebles","18","C","propingrta","propingrta","0,0.15337423312883...100"
"Proporciones para la mediana de los porcentajes calculados para los hogares que reciben ingresos por inversiones financieras","18","C","propinginv","propinginv","0,0.05194528430054...100"
"Proporciones para la mediana de los porcentajes calculados para los hogares que reciben ingresos por otras fuentes diferentes al trabajo","18","C","propingotf","propingotf","0,0.09464319515427...100"
"Condición de tenencia de crédito de Vivienda principal","1","C","ccred_vpal","ccred_vpal","0,1"
"Monto de crédito de vivienda principal","8","C","mnto_vpal","mnto_vpal","0,200...13000000"
"Condición de tenencia de crédito de Vivienda secundaria","1","C","ccred_vsec","ccred_vsec","0,1"
"Monto de crédito de vivienda secundaria","7","C","mnto_vsec","mnto_vsec","0...2200000"
"Condición de tenencia de crédito hipotecario de Vivienda principal y/o secundaria","1","C","cred_hip","cred_hip","0,1"
"Monto de crédito hipotecario de Vivienda principal y/o secundaria","8","C","mto_hipot","mto_hipot","0...13000000"
"Condición de tenencia de crédito no hipotecario","1","C","cred_nohip","cred_nohip","0,1"
"Monto de deuda de crédito no hipotecario","7","C","mto_nohipo","mto_nohipo","0...3200000"
"Condición de tenencia de tarjeta departamental y/o bancaria","1","C","cred_tcrd","cred_tcrd","0,1"
"Monto de deuda de tarjeta departamental y/o bancaria","6","C","mto_tcrd","mto_tcrd","0...900000"
"Condición de tenencia de crédito de nómina y/o personal","1","C","cred_nmpe","cred_nmpe","0,1"
"Monto de deuda de crédito de nómina y/o personal","7","C","mto_nmpe","mto_nmpe","0...1350000"
"Condición de tenencia de automotores","1","C","cred_aumo","cred_aumo","0,1"
"Monto de deuda de automotores","7","C","mto_aumo","mto_aumo","0,30...1000000"
"Condición de tenencia de otros créditos","1","C","cred_rest","cred_rest","0,1"
"Monto de deuda de otros créditos","7","C","mto_rest","mto_rest","0...3000000"
"Condición de tenencia de crédito hipotecario o no hipotecario","1","C","cred_tot","cred_tot","0,1"
"Monto de deuda de crédito hipotecario o no hipotecario","8","C","mto_ctot","mto_ctot","0...13000350"
"Condición de no tenencia de adeudos","1","C","sin_deuda","sin_deuda","0,1"
"Servicio de deuda total","6","C","serv_deud","serv_deud","0...308500"
"Servicio de deuda hipotecaria","5","C","serv_hipo","serv_hipo","0,165...34800"
"Razones de la Deuda total / Activos brutos totales","18","C","raz_1","raz_1","0,0.00000025412961...333.333333333333"
"Razones de la Deuda total / Ingreso corriente efectivo anual","18","C","raz_2","raz_2","0,0.00000128205128...122.183740601504"
"Razones del Servicio de la deuda total/ Ingreso corriente efectivo mensual","18","C","raz_3","raz_3","0…63.33333333333333"
"Razones del Servicio de la deuda hipotecaria / Ingreso corriente efectivo mensual","18","C","raz_4","raz_4","0,0.00440922190202…15.3333333333333"
"Razones de la Deuda hipotecaria / Valor de la vivienda principal","18","C","raz_5","raz_5","0,0.00000066666667...16.25"
"Razones de los Activos líquidos netos / Ingreso corriente efectivo anual","18","C","raz_6","raz_6","0,0.00000512820513...71.3615023474178"
"Estrato de diseño","3","C","edis","","001...407"
"Unidad primaria de muestreo de diseño","7","C","upm_dis","","0000001...0003307"
"Factor de expansión","5","C","fac_hog","","24...22850"
