nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves 
"Número de folio","7","C","folio","","0000001...0017386"
"Número de vivienda seleccionada","2","C","viv_sel","","01...18"
"Hogar","1","C","hogar","","1...3"
"Número de renglón de la persona seleccionada","2","C","n_ren","","01...05"
"Número consecutivo de identificación","2","C","consec","","01"
"Pregunta P8.33 ¿El crédito educativo lo tiene con...?","1","C","p8_33","p8_33","1,2,4"
"Pregunta P8.34 Actualmente, ¿cuánto debe en el crédito educativo de (RESPUESTA DE 8.33)?","6","C","p8_34","p8_34","000500...500000,999999"
"Pregunta P8.35 ¿Cuál es la mensualidad del crédito educativo?","5","C","p8_35","p8_35","00083...07000,99888,99999"
"Pregunta P8.36.1 ¿Cuál es la tasa de interés anual que le cobran?","2","C","p8_36_1","p8_36_1","00...30,99"
"Pregunta P8.36.2 ¿Cuál es la tasa de interés anual que le cobran?","1","C","p8_36_2","p8_36_2","0...9"
"Pregunta P8.37.1 ¿A cuántos años y meses le dieron el crédito educativo de (RESPUESTA DE 8.33)?","2","C","p8_37_1","p8_37_1","00...10,99"
"Pregunta P8.37.2 ¿A cuántos años y meses le dieron el crédito educativo de (RESPUESTA DE 8.33)?","2","C","p8_37_2","p8_37_2","00...11,99"
"Pregunta P8.38.1 ¿Cuánto tiempo le falta para terminar de pagar este crédito con (RESPUESTA DE 8.33)?","2","C","p8_38_1","p8_38_1","00...10,99"
"Pregunta P8.38.2 ¿Cuánto tiempo le falta para terminar de pagar este crédito con (RESPUESTA DE 8.33)?","2","C","p8_38_2","p8_38_2","00...11,99"
"Estrato de diseño","3","C","edis","","003...399"
"Unidad primaria de muestreo de diseño","7","C","upm_dis","","0000057...0003267"
"Factor de expansión","4","C","factor","","167...4133"
"Estrato","1","C","estrato","","1...4"
"Tamaño de localidad","1","C","tloc","tloc","1...4"
