nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves 
"Número de folio","7","C","folio","","0000001...0017386"
"Número de vivienda seleccionada","2","C","viv_sel","","01...21"
"Hogar","1","C","hogar","","1,2"
"Número de renglón de la persona seleccionada","2","C","n_ren","","01...08"
"Número consecutivo de identificación","2","C","consec","","01...06"
"Pregunta P8.49 Actualmente, ¿cuánto debe en el crédito comunal, grupal o solidario?","6","C","p8_49","p8_49","000001...200000,999888,999999"
"Pregunta P8.50 ¿Cuál es la mensualidad del crédito?","5","C","p8_50","p8_50","00001...23000,99888,99999"
"Pregunta P8.51.1 ¿Cuál es la tasa de interés anual que le cobran?","2","C","p8_51_1","p8_51_1","00...96,99"
"Pregunta P8.51.2 ¿Cuál es la tasa de interés anual que le cobran?","1","C","p8_51_2","p8_51_2","0...9"
"Pregunta P8.52 De octubre de 2018 a la fecha, ¿cuántos meses se ha atrasado en el pago del crédito comunal, grupal o solidario?","2","C","p8_52","p8_52","00...36,99"
"Pregunta P8.53.1 ¿A cuántos años y meses le dieron el crédito?","2","C","p8_53_1","p8_53_1","00...36,99"
"Pregunta P8.53.2 ¿A cuántos años y meses le dieron el crédito?","2","C","p8_53_2","p8_53_2","00...10,99"
"Pregunta P8.54.1 ¿Cuánto tiempo le falta para terminar de pagar este crédito?","2","C","p8_54_1","p8_54_1","00...09,99"
"Pregunta P8.54.2 ¿Cuánto tiempo le falta para terminar de pagar este crédito?","2","C","p8_54_2","p8_54_2","00...18,99"
"Estrato de diseño","3","C","edis","","001...407"
"Unidad primaria de muestreo de diseño","7","C","upm_dis","","0000027...0003305"
"Factor de expansión","5","C","factor","","50...19063"
"Estrato","1","C","estrato","","1...4"
"Tamaño de localidad","1","C","tloc","tloc","1...4"
