nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
"Número de folio","7","C","folio","","0000001...0017386"
"Número de vivienda seleccionada","2","C","viv_sel","","01…24"
"Número de Hogar","1","C","hogar","","1…4"
"Número de renglón del informante","2","C","n_inf","","01…09"
"Pregunta P2.9 ¿En su hogar se localiza la dueña o el dueño de la vivienda, la o el responsable del contrato de renta o la persona que tiene el convenio de préstamo?","1","C","p2_9","p2_9","1,2"
"Pregunta P2.10 Por favor, dígame el nombre de la persona de su hogar que más conoce sobre el valor de la vivienda y sus características.","2","C","p2_10","","01…09"
"Estrato de diseño","3","C","edis","","001...407"
"Unidad primaria de muestreo de diseño","7","C","upm_dis","","0000001...0003307"
"Factor de expansión","5","C","fac_hog","","24...22850"
"Estrato","1","C","estrato","","1…4"
"Tamaño de localidad","1","C","tloc","tloc","1…4"
