nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves 
"Número de folio","7","C","folio","","0000001...0017386"
"Número de vivienda seleccionada","2","C","viv_sel","","01...24"
"Hogar","1","C","hogar","","1...4"
"Número de renglón de la persona seleccionada","2","C","n_ren","","01...13"
"Pregunta P4A1 ¿La semana pasada usted...?","1","C","p4a1","p4a1","1…8"
"Pregunta P4A2.1 ¿Cuánto tiempo lleva buscando trabajo?","1","C","p4a2_1","p4a2_1","0…6,9"
"Pregunta P4A2.2 ¿Cuánto tiempo lleva buscando trabajo?","2","C","p4a2_2","p4a2_2","00…10,99"
"Pregunta P4A3 Aunque ya me dijo que usted (CONDICIÓN DE 4a.1), ¿la semana pasada...?","1","C","p4a3","p4a3","1…6"
"Pregunta P4A4 ¿En su trabajo (actividad) de la semana pasada, usted fue...?","1","C","p4a4","p4a4","1…6"
"Pregunta P4A5 Por parte de su trabajo, ¿usted tiene derecho a los servicios médicos...?","1","C","p4a5","p4a5","1…6,9"
"Pregunta P4A6C ¿Cuál es el nombre de su oficio, puesto o cargo de la semana pasada? (Técnico electricista, maestra de primaria, vendedora de frutas, albañil, mecánico de autos, etcétera).","4","C","p4a6c","","1002...9999"
"Pregunta P4A8.1 Considerando sueldo, comisiones, horas extras o propinas, ¿cuánto gana o recibe por trabajar? Si tiene más de un trabajo, por favor también considérelo.","6","C","p4a8_1","p4a8_1","000000...720000,999888"
"Pregunta P4A8.2 ¿Cada cuándo?","1","C","p4a8_2","p4a8_2","1…4,9"
"Pregunta P5.1 Sin contar esta vivienda, ¿usted es dueña(o) total o parcial de algún terreno, casa, rancho, local u otra propiedad?","1","C","p5_1","p5_1","1,2,9"
"Pregunta P5.2 ¿Cuántas propiedades tiene en total (sin contar esta vivienda)?","2","C","p5_2","","01…15"
"Pregunta P6.1 ¿Usted es propietaria(o) total o parcial de un negocio o empresa como tienda de abarrotes, papelería, taller, fábrica, entre otros?","1","C","p6_1","p6_1","1,2,8"
"Pregunta P6.1A En la actividad que realiza por cuenta propia, ¿usted es dueña(o) de mercancía, mobiliario, equipo o herramienta que le representen una inversión?","1","C","p6_1a","p6_1a","1,2,8"
"Pregunta P6.2.1 ¿De cuántos negocios o empresas usted es única(o) dueña(o)?","1","C","p6_2_1","","0…5"
"Pregunta P6.2.2 ¿De cuántos negocios o empresas usted comparte la propiedad con alguien (dueña(o) de un porcentaje)?","1","C","p6_2_2","","0…4"
"Pregunta P6.23 ¿Usted es dueña(o) de aves de corral, ganado u otros animales, maquinaria industrial o agrícola, herramientas o bienes similares (compresora, cerdos, ordeñadora, etcétera)?","1","C","p6_23","p6_23","1,2"
"Pregunta P6.24 Si tuviera que vender en este momento estos bienes, ¿en cuánto los vendería?","9","C","p6_24","p6_24","000000030...320000000,900000000,999999888,999999999"
"Pregunta P6.25 Actualmente, ¿está pagando alguno de estos bienes?","1","C","p6_25","p6_25","1,2,9"
"Pregunta P6.26 ¿Cuál es la mensualidad que está pagando por estos bienes?","7","C","p6_26","","0000100...0020000"
"Pregunta P6.27 En total, ¿cuánto debe todavía?","9","C","p6_27","","000000400…001500000"
"Pregunta P7.1.1 ¿Usted es propietaria(o) de algún(a) auto o camioneta?","1","C","p7_1_1","p7_1_1","1,2"
"Pregunta P7.2.1 ¿Cuántas(os) auto o camioneta tiene?","1","C","p7_2_1","p7_2_1","1…9"
"Pregunta P7.3.1 Si tuviera que vender en este momento su(s) auto o camioneta, ¿cuánto obtendría en total?","9","C","p7_3_1","p7_3_1","000000045...250000000, 999999888,999999999"
"Pregunta P7.4.1 Actualmente, ¿está pagando el auto o camioneta (motocicleta)?","1","C","p7_4_1","p7_4_1","1,2,8"
"Pregunta P7.5.1 ¿Cuántos autos o camionetas (motocicletas) está pagando actualmente?","1","C","p7_5_1","p7_5_1","0…5"
"Pregunta P7.1.2 ¿Usted es propietaria(o) de algún(a) motocicleta?","1","C","p7_1_2","p7_1_2","1,2"
"Pregunta P7.2.2 ¿Cuántas(os) motocicletas tiene?","1","C","p7_2_2","p7_2_2","1…5,8"
"Pregunta P7.3.2 Si tuviera que vender en este momento su(s) motocicleta, ¿cuánto obtendría en total?","9","C","p7_3_2","p7_3_2","000000005...000400000,999999888,999999999"
"Pregunta P7.4.2 Actualmente, ¿está pagando el auto o camioneta (motocicleta)?","1","C","p7_4_2","p7_4_2","1,2,8,9"
"Pregunta P7.5.2 ¿Cuántos autos o camionetas (motocicletas) está pagando actualmente?","1","C","p7_5_2","p7_5_2","0...2"
"Pregunta P7.1.3 ¿Usted es propietaria(o) de algún(a) otro tipo de vehículo (lancha, avioneta, etcétera)?","1","C","p7_1_3","p7_1_3","1,2"
"Pregunta P7.2.3 ¿Cuántas(os) otro tipo de vehículo (lancha, avioneta, etcétera) tiene?","1","C","p7_2_3","","1…6"
"Pregunta P7.3.3 Si tuviera que vender en este momento su(s) auto o camioneta, ¿cuánto obtendría en total?","9","C","p7_3_3","p7_3_3","000001000...003000000,999999888,999999999"
"Pregunta P8.1.1 ¿Actualmente usted debe dinero a una caja de ahorro de conocidos o del trabajo?","1","C","p8_1_1","p8_1_1","1,2"
"Pregunta P8.2.1 En total, ¿cuántos préstamos debe a una caja de ahorro de conocidos o del trabajo?","1","C","p8_2_1","p8_2_1","1…6,9"
"Pregunta P8.3.1 ¿Cuánto le prestaron una una caja de ahorro de conocidos o del trabajo (considerando todos los préstamos)?","6","C","p8_3_1","p8_3_1","000001...800000,999888,999999"
"Pregunta P8.4.1 De lo que le prestaron, ¿cuánto debe todavía a una caja de ahorro de conocidos o del trabajo?","6","C","p8_4_1","p8_4_1","000016...700000,999888,999999"
"Pregunta P8.5.1 ¿Cuánto pagó el mes pasado (considerando todos los préstamos) una caja de ahorro de conocidos o del trabajo?","6","C","p8_5_1","p8_5_1","000000,000003...220000,999999"
"Pregunta P8.6.1.1 ¿En cuánto tiempo cree que terminará de pagar este préstamo una caja de ahorro de conocidos o del trabajo?","1","C","p8_6_1_1","p8_6_1_1","0…9"
"Pregunta P8.6.1.2 ¿En cuánto tiempo cree que terminará de pagar este préstamo una caja de ahorro de conocidos o del trabajo?","2","C","p8_6_1_2","p8_6_1_2","00…11,99"
"Pregunta P8.1.2 ¿Actualmente usted debe dinero a familiares o amigos?","1","C","p8_1_2","p8_1_2","1,2"
"Pregunta P8.2.2 En total, ¿cuántos préstamos debe a familiares o amigos?","1","C","p8_2_2","p8_2_2","1…9"
"Pregunta P8.3.2 ¿Cuánto le prestaron familiares o amigos (considerando todos los préstamos)?","6","C","p8_3_2","p8_3_2","000001...800000,900000,999888,999999"
"Pregunta P8.4.2 De lo que le prestaron, ¿cuánto debe todavía a familiares o amigos?","6","C","p8_4_2","p8_4_2","000003...650000,900000,999888,999999"
"Pregunta P8.5.2 ¿Cuánto pagó el mes pasado (considerando todos los préstamos) familiares o amigos?","6","C","p8_5_2","p8_5_2","000000,000003...100000,999999"
"Pregunta P8.6.2.1 ¿En cuánto tiempo cree que terminará de pagar este préstamo de familiares o amigos?","1","C","p8_6_2_1","p8_6_2_1","0…9"
"Pregunta P8.6.2.2 ¿En cuánto tiempo cree que terminará de pagar este préstamo de familiares o amigos?","2","C","p8_6_2_2","p8_6_2_2","00…11,99"
"Pregunta P8.1.3 ¿Actualmente usted debe dinero a una casa de empeño, prestamistas o agiotistas?","1","C","p8_1_3","p8_1_3","1,2"
"Pregunta P8.2.3 En total, ¿cuántos préstamos debe a una casa de empeño, prestamistas o agiotistas?","1","C","p8_2_3","p8_2_3","1…9"
"Pregunta P8.3.3 ¿Cuánto le prestaron en una casa de empeño, prestamistas o agiotistas?","6","C","p8_3_3","p8_3_3","000001...700000,999888,999999"
"Pregunta P8.4.3 De lo que le prestaron inicialmente, ¿cuánto debe todavía a una casa de empeño, prestamistas o agiotistas?","6","C","p8_4_3","p8_4_3","000001...500000,900000,999888,999999"
"Pregunta P8.5.3 ¿Cuánto pagó el mes pasado (considerando todos los préstamos) una casa de empeño, prestamistas o agiotistas?","6","C","p8_5_3","p8_5_3","000000,000013...030000,999999"
"Pregunta P8.6.3.1 ¿En cuánto tiempo cree que terminará de pagar este préstamo de una casa de empeño, prestamistas o agiotistas?","1","C","p8_6_3_1","p8_6_3_1","0…9"
"Pregunta P8.6.3.2 ¿En cuánto tiempo cree que terminará de pagar este préstamo de una casa de empeño, prestamistas o agiotistas?","2","C","p8_6_3_2","","00…11"
"Pregunta P8.1.4 ¿Actualmente usted tiene un préstamo que haya pedido a Otro?","1","C","p8_1_4","p8_1_4","1,2"
"Pregunta P8.2.4 En total, ¿cuántos préstamos debe a Otro?","1","C","p8_2_4","","1…4"
