nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves 
"Número de folio","7","C","folio","","0000001...0017386"
"Número de vivienda seleccionada","2","C","viv_sel","","01...20"
"Hogar","1","C","hogar","","1...4"
"Número de renglón de la persona seleccionada","2","C","n_ren","","01...10"
"Número consecutivo de identificación","2","C","consec","","01...03"
"Pregunta P8.24 ¿Con qué institución tiene el crédito de nómina?","1","C","p8_24","p8_24","1...6,9"
"Pregunta P8.25 Actualmente, ¿cuánto debe en el crédito de nómina de (RESPUESTA DE 8.24)?","6","C","p8_25","p8_25","000001...500000,999888,999999"
"Pregunta P8.26 ¿Cuál es la mensualidad del crédito?","6","C","p8_26","p8_26","000001...180000,999888,999999"
"Pregunta P8.27.1 ¿Cuál es la tasa de interés anual que le cobran?","2","C","p8_27_1","p8_27_1","00...90,99"
"Pregunta P8.27.2 ¿Cuál es la tasa de interés anual que le cobran?","1","C","p8_27_2","p8_27_2","0...9"
"Pregunta P8.28 De octubre de 2018 a la fecha, ¿cuántos meses se ha atrasado en el pago del crédito de nómina de (RESPUESTA DE 8.24)?","2","C","p8_28","p8_28","00...36,99"
"Pregunta P8.29 ¿A cuántos meses le dieron el crédito de nómina?","2","C","p8_29","p8_29","01...99"
"Pregunta P8.30 ¿Cuántos meses le faltan para terminar de pagar el crédito con (RESPUESTA DE 8.24)?","2","C","p8_30","p8_30","01...80,99"
"Pregunta P8.31 Principalmente, ¿para qué ocupó o piensa utilizar el crédito que le otorgaron?","1","C","p8_31","p8_31","1...9"
"Estrato de diseño","3","C","edis","","001...407"
"Unidad primaria de muestreo de diseño","7","C","upm_dis","","0000001...0003303"
"Factor de expansión","5","C","factor","","24...13744"
"Estrato","1","C","estrato","","1...4"
"Tamaño de localidad","1","C","tloc","tloc","1...4"
