nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
"Número de folio","7","C","folio","","0000001...0017386"
"Número de vivienda seleccionada","2","C","viv_sel","","01…24"
"Hogar","1","C","hogar","","1…4"
"Número de renglón de la persona seleccionada","2","C","n_ren","","01…16"
"Pregunta PAREN ¿Qué es (NOMBRE) de la (del) jefa(e) del hogar?","1","C","paren","paren","1…8"
"Pregunta SEXO (NOMBRE) es hombre (NOMBRE) es mujer","1","C","sexo","sexo","1,2"
"Pregunta EDAD ¿Cuántos años cumplidos tiene (NOMBRE)?","2","C","edad","edad","00...99"
"Pregunta P2.5 ¿(NOMBRE) asiste actualmente a la escuela?","1","C","p2_5","p2_5","1,2"
"Pregunta NIV ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela?","2","C","niv","niv","00…10,99"
"Pregunta GRA ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela?","1","C","gra","gra","0…9"
"Pregunta P2.7 ¿(NOMBRE) está titulado de (RESPUESTA DE 2.6)?","1","C","p2_7","p2_7","1,2,9"
"Pregunta P2.8 ¿Actualmente (NOMBRE)...?","1","C","p2_8","p2_8","1…6,9"
"Estrato de diseño","3","C","edis","","001...407"
"Unidad primaria de muestreo de diseño","7","C","upm_dis","","0000001...0003307"
"Factor de expansión","5","C","factor","","24...22850"
"Estrato","1","C","estrato","","1…4"
"Tamaño de localidad","1","C","tloc","tloc","1…4"
