nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
Número de folio,7,C,folio,,0000001...0017386
Número de vivienda seleccionada,2,C,viv_sel,,01...24
"Pregunta P1.1 ¿Cuántas personas viven normalmente en esta vivienda contando a los niños chiquitos, adultos mayores y personas con discapacidad? Incluya a los trabajadores domésticos que viven aquí.",2,C,p1_1,,01...21
Pregunta P1.2 ¿Todas las personas que viven en esta vivienda comparten un mismo gasto para comer?,1,C,p1_2,p1_2,"1,2"
Pregunta P1.3 Entonces ¿cuántos hogares o grupos de personas tienen gasto separado para comer contando el de usted?,2,C,p1_3,,02...04
Pregunta P3.0 Entrevistador(a) observe y circule un solo código,1,C,p3_0,p3_0,1...6
"Pregunta P3.1 En esta vivienda, ¿cuántos cuartos se usan para dormir, sin contar pasillos?",2,C,p3_1,p3_1,"01...10,99"
Pregunta P3.2 ¿Cuántos cuartos tiene en total esta vivienda contando la cocina? (No cuente pasillos ni baños),2,C,p3_2,p3_2,"01...20,99"
"Pregunta P3.3 ¿Esta vivienda tiene excusado, retrete, sanitario, letrina u hoyo negro?",1,C,p3_3,p3_3,"1,2,9"
Pregunta P3.3A ¿Este servicio...?,1,C,p3_3a,p3_3a,1...3
Pregunta P3.4 ¿Cuántos baños completos tiene esta vivienda con sanitario y regadera?,1,C,p3_4,,0...8
Pregunta P3.4A ¿Cuántos medios baños tiene (solo sanitario)?,1,C,p3_4a,,0...9
Pregunta P3.5 ¿Esta vivienda tiene drenaje o desagüe conectado a...?,1,C,p3_5,p3_5,"1...5,9"
Pregunta P3.6 ¿Cuántos focos tiene esta vivienda?,2,C,p3_6,p3_6,00...99
Pregunta P3.7.1 ¿Cuántos años de construida tiene esta vivienda?,2,C,p3_7_1,p3_7_1,01...99
Pregunta P3.7.2 ¿Cuántos años de construida tiene esta vivienda?,1,C,p3_7_2,p3_7_2,"1...7,9"
Pregunta P3.8.1 ¿Cuántos metros cuadrados mide el terreno de esta vivienda?,3,C,p3_8_1,p3_8_1,"009...994,997...999"
Pregunta P3.8.2 ¿Cuántos metros cuadrados mide el terreno de esta vivienda?,1,C,p3_8_2,p3_8_2,1...9
Pregunta P3.9.1 ¿Cuántos metros de construcción tiene esta vivienda?,3,C,p3_9_1,p3_9_1,"009...995,997...999"
Pregunta P3.9.2 ¿Cuántos metros de construcción tiene esta vivienda?,1,C,p3_9_2,p3_9_2,1...9
Pregunta P4.1 ¿En esta vivienda...?,1,C,p4_1,p4_1,1...5
"Pregunta P4.2.1 De las personas que forman su hogar, ¿quién es la dueña o dueño de esta vivienda?",2,C,p4_2_1,p4_2_1,00...08
"Pregunta P4.2.2 De las personas que forman su hogar, ¿quién es la dueña o dueño de esta vivienda?",2,C,p4_2_2,p4_2_2,00...06
Pregunta P4.3 ¿Esta vivienda tiene escrituras?,1,C,p4_3,p4_3,"1,2,9"
Pregunta P4.4 ¿Las escrituras o título de propiedad está...?,1,C,p4_4,p4_4,"1,2,9"
Pregunta P4.5 ¿Quién les renta la vivienda?,1,C,p4_5,p4_5,1…3
Pregunta P4.6 ¿Cuánto pagan de renta mensual?,6,C,p4_6,p4_6,"000100...025000,999888,999999"
"Pregunta P4.7 Si a ustedes les rentaran esta vivienda, ¿cuánto cree que pagarían al mes?",6,C,p4_7,p4_7,"000100...030000,999888,999999"
Pregunta P4.8 ¿Esta vivienda...?,1,C,p4_8,p4_8,"1,2"
"Pregunta P4.9 Si rentaran esta vivienda, ¿cuánto cobrarían al mes?",6,C,p4_9,p4_9,"000100...130000,999888,999999"
Pregunta P4.10 ¿Cuánto cree que vale actualmente esta vivienda?,9,C,p4_10,p4_10,"000010000...030070000,999999888,999999999"
Pregunta P4.10A ¿Diría que su casa vale...?,1,C,p4_10a,p4_10a,"1...6,8,9"
Pregunta P4.11 ¿En qué año se adquirió o se terminó de construir la vivienda?,4,C,p4_11,p4_11,"1909...2019,9999"
Pregunta P4.12 ¿La dueña o dueño actual de esta vivienda...?,1,C,p4_12,p4_12,1...5
"Pregunta P4.13.1 En total, ¿cuánto les costó la vivienda, incluyendo el precio del terreno, materiales, mano de obra y permisos?",9,C,p4_13_1,p4_13_1,"000000300...220000000,999999888,999999999"
"Pregunta P4.13.2 En total, ¿cuánto les costó la vivienda, incluyendo el precio del terreno, materiales, mano de obra y permisos?",1,C,p4_13_2,p4_13_2,"0,1"
"Pregunta P4.14.1 En total, ¿cuánto les costó la vivienda al momento de la adquisición?",9,C,p4_14_1,p4_14_1,"000000500...450000000,999999888,999999999"
"Pregunta P4.14.2 En total, ¿cuánto les costó la vivienda al momento de la adquisición?",1,C,p4_14_2,p4_14_2,"0,1"
"Pregunta P4.15.1 ¿Para financiar la compra (construcción) de esta vivienda obtuvieron un crédito de vivienda con INFONAVIT, FOVISSSTE o bancario?",1,C,p4_15_1,p4_15_1,"1,2"
"Pregunta P4.15.2 ¿Para financiar la compra (construcción) de esta vivienda obtuvieron préstamo de familiares, amigos, prestamistas o agiotistas?",1,C,p4_15_2,p4_15_2,"1,2"
"Pregunta P4.15.3 ¿Para financiar la compra (construcción) de esta vivienda obtuvieron un apoyo o subsidio del gobierno (Federal, Estatal o Municipal)?",1,C,p4_15_3,p4_15_3,"1,2"
Pregunta P4.15.4 ¿Para financiar la compra (construcción) de esta vivienda usaron sus ahorros o recursos propios?,1,C,p4_15_4,p4_15_4,"1,2"
Pregunta P4.16 ¿Cuántos créditos de vivienda obtuvieron?,1,C,p4_16,,1...3
Pregunta P4.17 ¿Tienen deuda vigente en el (los) crédito(s) de vivienda que obtuvieron?,1,C,p4_17,p4_17,"1,2"
Pregunta P4.18 ¿Con cuál institución obtuvieron el crédito (principal) de vivienda?,1,C,p4_18,p4_18,1...9
Pregunta P4.19 ¿Cuánto les prestaron en el crédito (principal) de vivienda?,9,C,p4_19,p4_19,"000010000...027000000,999999888,999999999"
Pregunta P4.20.1 ¿En qué mes y año firmaron el crédito (principal) de vivienda?,2,C,p4_20_1,p4_20_1,"01...12,99"
Pregunta P4.20.2 ¿En qué mes y año firmaron el crédito (principal) de vivienda?,4,C,p4_20_2,p4_20_2,"1976...2019,9999"
Pregunta P4.21 ¿A cuántos años les dieron el crédito (principal) de vivienda?,2,C,p4_21,p4_21,"02...30,99"
Pregunta P4.22 ¿Han cambiado o renegociado las condiciones del crédito de vivienda que les dieron inicialmente?,1,C,p4_22,p4_22,"1,2,9"
Pregunta P4.23.1 ¿En qué mes y año fue la última renegociación del crédito de vivienda?,2,C,p4_23_1,p4_23_1,"01...12,99"
Pregunta P4.23.2 ¿En qué mes y año fue la última renegociación del crédito de vivienda?,4,C,p4_23_2,p4_23_2,"1992...2019,9999"
Pregunta P4.24 ¿Cuál es el motivo principal por el que renegociaron las condiciones de su crédito?,1,C,p4_24,p4_24,"1...5,9"
Pregunta P4.25 ¿Cuál fue el monto del crédito al momento de renegociar?,9,C,p4_25,p4_25,"000001100...001400000,999999888,999999999"
Pregunta P4.26 ¿Renegociaron el crédito con la misma institución?,1,C,p4_26,p4_26,"1,2"
Pregunta P4.27 ¿Con cuál institución renegociaron?,1,C,p4_27,p4_27,"1,2,4,6...9"
Pregunta P4.28 ¿A cuántos años les dieron el crédito renegociado?,2,C,p4_28,p4_28,"03...35,99"
Pregunta P4.29 ¿Cuál es la mensualidad del crédito (principal) de vivienda (renegociado)?,6,C,p4_29,p4_29,"000189...031000,999888,999999"
Pregunta P4.30 ¿Cuánto pagaron el mes pasado?,6,C,p4_30,p4_30,"000100...031000,999888,999999"
Pregunta P4.31.1 ¿Cuál es la tasa de interés anual que les cobran?,2,C,p4_31_1,p4_31_1,"00...95,99"
Pregunta P4.31.2 ¿Cuál es la tasa de interés anual que les cobran?,1,C,p4_31_2,p4_31_2,0...9
Pregunta P4.32 ¿El crédito (principal) de vivienda (renegociado) está en...?,1,C,p4_32,p4_32,"1...3,5,9"
"Pregunta P4.33 Del crédito (principal) de vivienda (renegociado), ¿cuánto deben todavía?",9,C,p4_33,p4_33,"000000200...013000000,999999888,999999999"
Pregunta P4.34.1 ¿Cuánto tiempo les falta para terminar de pagar?,2,C,p4_34_1,p4_34_1,"00...30,99"
Pregunta P4.34.2 ¿Cuánto tiempo les falta para terminar de pagar?,2,C,p4_34_2,p4_34_2,"00...11,99"
"Pregunta P4.35 De octubre de 2018 a la fecha, ¿han tenido algún atraso en los pagos del crédito (principal) de vivienda (renegociado)?",1,C,p4_35,p4_35,"1,2,9"
Pregunta P4.36 ¿Cuántos meses de atraso han tenido en el pago del crédito (principal) de vivienda (renegociado)?,2,C,p4_36,p4_36,"01...12,98,99"
