
"Banco de México"

"Subastas y colocación de valores"
"Valores Gubernamentales"

"Fecha de consulta: 01/04/2026 08:21:26"

""

"Título","Valores gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Cetes a 28 días","Valores gubernamentales Resultados de la subasta semanal, Plazo en días Cetes a 91 días","Valores gubernamentales Resultados de la subasta semanal, Monto asignado Cetes a 91 días","Valores gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Cetes a 91 días","Valores gubernamentales Resultados de la subasta semanal, Plazo en días Cetes a 182 días","Valores gubernamentales Resultados de la subasta semanal, Monto asignado Cetes a 182 días","Valores gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Cetes a 182 días","Valores gubernamentales Resultados de la subasta semanal, Plazo en días Cetes a 364 días","Valores gubernamentales Resultados de la subasta semanal, Monto asignado Cetes a 364 días","Valores gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Cetes a 364 días","Valores gubernamentales Resultados de la subasta semanal , Plazo en días Cetes a 728 días","Valores gubernamentales Resultados de la subasta semanal , Monto asignado Cetes a 728 días","Valores gubernamentales Resultados de la subasta semanal , Tasa de rendimiento Cetes a 728 días","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Bondes D a 1 año","Valores Gubernamentales Resultados de la subasta semanal, Monto Asignado Bondes D a 1 año","Valores Gubernamentales Resultados de la subasta semanal, Precio ponderado de colocación Bondes D a 1 año","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Bondes D a 2 años","Valores Gubernamentales Resultados de la subasta semanal, Monto Asignado Bondes D a 2 años","Valores Gubernamentales Resultados de la subasta semanal, Precio ponderado de colocación Bondes D a 2 años","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Bondes D a 3 años","Valores Gubernamentales Resultados de la subasta semanal, Monto Asignado Bondes D a 3 años","Valores Gubernamentales Resultados de la subasta semanal, Precio ponderado de colocación Bondes D a 3 años","Valores Gubernamentales, Resultados de la subasta semanal, Plazo en días Bondes D a 5 años","Valores Gubernamentales, Resultados de la subasta semanal, Monto Asignado Bondes D a 5 años","Valores Gubernamentales Resultados de la subasta semanal, Precio ponderado de colocación Bondes D a 5 años","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Bondes F a 1 año","Valores Gubernamentales Resultados de la subasta semanal, Monto Asignado Bondes F a 1 año","Valores Gubernamentales Resultados de la subasta semanal, Precio ponderado de colocación Bondes F a 1 año","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Bondes F a 2 años","Valores Gubernamentales Resultados de la subasta semanal, Monto Asignado Bondes F a 2 años","Valores Gubernamentales Resultados de la subasta semanal, Precio ponderado de colocación Bondes F a 2 años","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Bondes F a 3 años","Valores Gubernamentales Resultados de la subasta semanal, Monto Asignado Bondes F a 3 años","Valores Gubernamentales Resultados de la subasta semanal, Precio ponderado de colocación Bondes F a 3 años","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Bondes F a 4 años","Valores Gubernamentales Resultados de la subasta semanal, Monto Asignado Bondes F a 4 años","Valores Gubernamentales Resultados de la subasta semanal, Precio ponderado de colocación Bondes F a 4 años","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Bondes F a 5 años","Valores Gubernamentales Resultados de la subasta semanal, Monto Asignado Bondes F a 5 años","Valores Gubernamentales Resultados de la subasta semanal, Precio ponderado de colocación Bondes F a 5 años","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Bondes F a 6 años","Valores Gubernamentales Resultados de la subasta semanal, Monto Asignado Bondes F a 6 años","Valores Gubernamentales Resultados de la subasta semanal, Precio ponderado de colocación Bondes F a 6 años","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Bondes F a 7 años","Valores Gubernamentales Resultados de la subasta semanal, Monto Asignado Bondes F a 7 años","Valores Gubernamentales Resultados de la subasta semanal, Precio ponderado de colocación Bondes F a 7 años","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Bondes F a 8 años","Valores Gubernamentales Resultados de la subasta semanal, Monto Asignado Bondes F a 8 años","Valores Gubernamentales Resultados de la subasta semanal, Precio ponderado de colocación Bondes F a 8 años","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Bondes F a 9 años","Valores Gubernamentales Resultados de la subasta semanal, Monto Asignado Bondes F a 9 años","Valores Gubernamentales Resultados de la subasta semanal, Precio ponderado de colocación Bondes F a 9 años","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Bondes F a 10 años","Valores Gubernamentales Resultados de la subasta semanal, Monto Asignado Bondes F a 10 años","Valores Gubernamentales Resultados de la subasta semanal, Precio ponderado de colocación Bondes F a 10 años","Valores gubernamentales Resultados de la subasta semanal, Plazo en días Bondes a 3 años","Valores gubernamentales Resultados de la subasta semanal, Monto asignado Bondes a 3 años","Valores gubernamentales Resultados de la subasta semanal, Cupón a 91 días Bondes a 3 años","Valores gubernamentales Resultados de la subasta semanal, Plazo en días Bondes a 5 años","Valores gubernamentales Resultados de la subasta semanal, Monto asignado Bondes a 5 años","Valores gubernamentales Resultados de la subasta semanal, Cupón a 182 días Bondes a 5 años","Valores gubernamentales Resultados de la subasta semanal Plazo en días Bonos a tasa fija 3 a años","Valores gubernamentales Resultados de la subasta semanal Monto asignado Bonos a tasa fija a 3 años","Valores gubernamentales Resultados de la subasta semanal Tasa de rendimiento Bonos a tasa fija a 3 años","Valores gubernamentales Resultados de la subasta semanal, Plazo en días Bono tasa fija 5 años","Valores gubernamentales Resultados de la subasta semanal, Monto asignado Bono tasa fija 5 años","Valores gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Bono tasa fija 5 años","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Bono tasa fija 7 años","Valores Gubernamentales Resultados de la subasta semanal, Monto asigando Bono tasa fija 7 años","Valores Gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Bono tasa fija 7 años","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Bono tasa fija 10 años","Valores Gubernamentales Resultados de la subasta semanal, Monto asigando Bono tasa fija 10 años","Valores Gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Bono tasa fija 10 años","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Bono tasa fija 20 años","Valores Gubernamentales Resultados de la subasta semanal, Monto asigando Bono tasa fija 20 años","Valores Gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Bono tasa fija 20 años","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Bono a Tasa Fija a 30 años","Valores Gubernamentales Resultados de la subasta semanal, Monto Asignado Bono a Tasa Fija a 30 años","Valores Gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Bonos a tasa fija a 30 años","Valores gubernamentales Resultados de la subasta semanal, Plazo en días Udibonos a 3 años","Valores gubernamentales Resultados de la subasta semanal, Monto asignado Udibonos a 3 años","Valores gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Udibonos a 3 años","Valores gubernamentales Resultados de la subasta semanal, Plazo en días Udibonos a 5 años","Valores gubernamentales Resultados de la subasta semanal, Monto asignado Udibonos a 5 años","Valores gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Udibonos a 5 años (real)","Valores gubernamentales Resultados de la subasta semanal, Plazo en días Udibonos a 10 años","Valores gubernamentales Resultados de la subasta semanal, Monto asignado Udibonos a 10 años","Valores gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Udibonos a 10 años (real)","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Udibonos a 20 años","Valores Gubernamentales Resultados de la subasta semanal, Monto asignado Udibonos a 20 años","Valores Gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Udibonos a 20 años","Valores Gubernamentales Resultados de la subasta semanal, Plazo en días Udibonos a 30 años","Valores Gubernamentales Resultados de la subasta semanal, Monto asignado Udibonos a 30 años","Valores Gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Udibonos a 30 años"
"Periodo disponible","02/09/1982 - 01/04/2026","19/01/1978 - 01/04/2026","24/04/1997 - 01/04/2026","19/01/1978 - 01/04/2026","13/09/1984 - 01/04/2026","24/04/1997 - 01/04/2026","13/09/1984 - 01/04/2026","15/11/1990 - 01/04/2026","24/04/1997 - 01/04/2026","15/11/1990 - 01/04/2026","13/10/2022 - 26/03/2026","13/10/2022 - 26/03/2026","13/10/2022 - 26/03/2026","24/10/2006 - 23/09/2021","24/10/2006 - 23/09/2021","05/10/2006 - 23/09/2021","01/07/2021 - 23/09/2021","01/07/2021 - 23/09/2021","01/07/2021 - 23/09/2021","05/10/2006 - 23/09/2021","05/10/2006 - 23/09/2021","05/10/2006 - 23/09/2021","05/10/2006 - 30/09/2021","05/10/2006 - 30/09/2021","05/10/2006 - 30/09/2021","07/10/2021 - 26/03/2026","07/10/2021 - 26/03/2026","07/10/2021 - 26/03/2026","07/10/2021 - 01/04/2026","07/10/2021 - 01/04/2026","07/10/2021 - 01/04/2026","07/10/2021 - 26/03/2026","07/10/2021 - 26/03/2026","07/10/2021 - 26/03/2026","06/01/2022 - 06/01/2022","06/01/2022 - 06/01/2022","06/01/2022 - 06/01/2022","07/10/2021 - 01/04/2026","07/10/2021 - 01/04/2026","07/10/2021 - 01/04/2026","06/01/2022 - 06/01/2022","06/01/2022 - 06/01/2022","06/01/2022 - 06/01/2022","17/02/2022 - 12/03/2026","17/02/2022 - 12/03/2026","17/02/2022 - 12/03/2026","06/01/2022 - 06/01/2022","06/01/2022 - 06/01/2022","06/01/2022 - 06/01/2022","06/01/2022 - 06/01/2022","06/01/2022 - 06/01/2022","06/01/2022 - 06/01/2022","17/02/2022 - 01/04/2026","17/02/2022 - 01/04/2026","17/02/2022 - 01/04/2026","23/10/1997 - 03/12/2020","23/10/1997 - 03/12/2020","23/10/1997 - 21/09/2006","19/04/2000 - 03/12/2020","19/04/2000 - 03/12/2020","19/04/2000 - 21/09/2006","27/01/2000 - 26/03/2026","27/01/2000 - 26/03/2026","27/01/2000 - 26/03/2026","25/05/2000 - 01/04/2026","25/05/2000 - 01/04/2026","25/05/2000 - 01/04/2026","18/07/2002 - 03/12/2020","18/07/2002 - 03/12/2020","18/07/2002 - 03/12/2020","26/07/2001 - 19/02/2026","26/07/2001 - 19/02/2026","26/07/2001 - 19/02/2026","30/10/2003 - 26/02/2026","30/10/2003 - 26/02/2026","30/10/2003 - 26/02/2026","26/10/2006 - 19/03/2026","26/10/2006 - 19/03/2026","26/10/2006 - 19/03/2026","30/05/1996 - 19/03/2026","30/05/1996 - 19/03/2026","30/05/1996 - 19/03/2026","20/02/1997 - 03/12/2020","20/02/1997 - 03/12/2020","20/02/1997 - 03/12/2020","14/10/1999 - 05/03/2026","14/10/1999 - 05/03/2026","14/10/1999 - 05/03/2026","05/01/2006 - 26/03/2026","05/01/2006 - 26/03/2026","05/01/2006 - 26/03/2026","05/01/2006 - 01/04/2026","05/01/2006 - 01/04/2026","05/01/2006 - 01/04/2026"
"Periodicidad","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria"
"Cifra","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Días por vencer","Saldos","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Sin tipo de Cifra","Días por vencer","Saldos","Saldos","Sin tipo de Cifra","Sin tipo de Cifra","Sin tipo de Cifra","Sin tipo de Cifra","Sin tipo de Cifra","Sin tipo de Cifra","Días por vencer","Saldos","Saldos","Días por vencer","Saldos","Saldos","Días por vencer","Saldos","Saldos","Días por vencer","Saldos","Saldos","Días por vencer","Saldos","Saldos","Días por vencer","Saldos","Saldos","Días por vencer","Saldos","Saldos","Días por vencer","Saldos","Saldos","Días por vencer","Saldos","Saldos","Días por vencer","Saldos","Saldos","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Sin tipo de Cifra","Flujos","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes"
"Unidad","Porcentajes","Días","Millones de Pesos","Porcentajes","Días","Millones de Pesos","Porcentajes","Días","Millones de Pesos","Porcentajes","Días","Millones de Pesos","Porcentajes","Sin Unidad","Sin Unidad","Sin Unidad","Días","Millones de Pesos","Pesos","Días","Millones de Pesos","Pesos","Días","Millones de Pesos","Pesos","Días","Millones de Pesos","Pesos","Días","Millones de Pesos","Pesos","Días","Millones de Pesos","Pesos","Días","Millones de Pesos","Pesos","Días","Millones de Pesos","Pesos","Días","Millones de Pesos","Pesos","Días","Millones de Pesos","Pesos","Días","Millones de Pesos","Pesos","Días","Millones de Pesos","Pesos","Días","Millones de Pesos","Pesos","Días","Millones de Pesos","Porcentajes","Días","Millones de Pesos","Porcentajes","Días","Millones de Pesos","Porcentajes","Días","Millones de Pesos","Porcentajes","Sin Unidad","Millones de Pesos","Porcentajes","Días","Millones de Pesos","Porcentajes","Días","Millones de Pesos","Porcentajes","Días","Millones de Pesos","Porcentajes","Días","Millones de Unidades de Inversión","Porcentajes","Días","Millones de Unidades de Inversión","Porcentajes","Días","Millones de Unidades de Inversión","Porcentajes","Días","Millones de Unidades de Inversión","Porcentajes","Días","Millones de Unidades de Inversión","Porcentajes"
"Base","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aviso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tipo de información","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles"
"Fecha","SF43936","SF43938","SF43940","SF43939","SF43941","SF43943","SF43942","SF43944","SF43946","SF43945","SF349778","SF349780","SF349785","SF60714","SF60715","SF60650","SF339743","SF339744","SF339745","SF60668","SF60669","SF60651","SF60673","SF60674","SF60652","SF341518","SF341522","SF341526","SF341519","SF341523","SF341527","SF341520","SF341524","SF341528","SF345517","SF345521","SF345525","SF341521","SF341525","SF341529","SF345518","SF345522","SF345526","SF345519","SF345523","SF345527","SF345570","SF345572","SF345574","SF345571","SF345573","SF345575","SF345520","SF345524","SF345528","SF43932","SF43934","SF43933","SF43929","SF43931","SF43930","SF43882","SF43884","SF43883","SF43885","SF43887","SF43886","SF44945","SF44947","SF44946","SF44070","SF44072","SF44071","SF45383","SF45385","SF45384","SF60689","SF60690","SF60696","SF61593","SF61594","SF61592","SF43926","SF43928","SF43927","SF43923","SF43925","SF43924","SF46957","SF46959","SF46958","SF46960","SF46962","SF46961"
06/01/2000,16.41,91,4100,17.71,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,1070,3000,0.81,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,1666,150,6.64,3556,150,6.58,N/E,N/E,N/E,N/E,N/E,N/E
13/01/2000,15.62,91,4100,16.98,196,2800,17.65,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,1063,1300,0.60,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
